Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Al4Co4Fe4Mn4Ni4,Al,Co,Fe,Mn,Ni,5,1.756,0.147186956,147.2,0.102884756,13.38151058,437.192,437.192,468.44,233.1678911,233.1678911,215.9134929,14.0983,15.8213,15.8552,4.438408,6.643177,8.766716,231.078042,7.341,-136.062796,-0.107,-4.654,22.47,480.4,148.95,78.64,200.1,9.784,1636.32,1.2271,0.276,0.528
Co4Fe4Mn4Ni4Sc4,Co,Fe,Mn,Ni,Sc,5,1.706,0.215090679,160.4,0.077727917,13.38151058,422.382,422.382,492.916,237.0645859,237.0645859,214.259124,15.9299,17.1145,17.1372,7.370221,7.138312,6.56949,270.952562,6.701,-145.226262,-0.065,-4.746,17.62,376.8,118.44,48.65,128.38,5.238,1155.64,0.9251,0.319,0.411
Ti4Co4Mn4Fe4Ni4,Ti,Co,Mn,Fe,Ni,5,1.742,0.162898742,158.8,0.059793841,13.38151058,415.218,415.218,481.16,240.2408449,240.2408449,213.6601142,10.0509,11.2861,11.3104,5.635418,5.584603,7.345683,231.147673,7.939,-150.927114,-0.032,-4.958,22.53,481.7,209.64,84.64,223.64,7.603,1692.87,1.2471,0.322,0.404
Co4Fe4Mn4Ni4V4,Co,Fe,Mn,Ni,V,5,1.76,0.143387587,157.8,0.048988969,13.38151058,416.802,416.802,448.05,239.468375,239.468375,225.5454877,9.1202,10.4352,10.4615,9.009375,8.731248,9.097496,220.874007,8.4,-154.517152,0.019,-4.901,24.34,520.5,237.37,101.77,266.84,9.274,2196.33,1.3651,0.312,0.429
Co4Cr4Fe4Mn4Ni4,Co,Cr,Fe,Mn,Ni,5,1.766,0.138361844,156.8,0.038981395,13.38151058,414.402,414.402,445.65,240.6540925,240.6540925,227.134425,8.5203,9.9931,10.0231,7.41418,7.383795,4.305389,213.959964,8.705,-154.929968,0.105,-4.553,26.57,568,254.96,123.58,318.82,12.234,2180.02,1.4973,0.291,0.485
Co4Cu4Fe4Mn4Ni4,Co,Cu,Fe,Mn,Ni,5,1.834,0.152394226,152.6,0.036273532,13.38151058,428.5,428.5,459.748,235.0105611,235.0105611,219.1450433,13.2699,14.7654,14.7946,6.182234,6.180595,6.685209,228.010309,8.505,-132.214964,0.081,-4.459,21.6,461.8,161.4,83.27,212.86,9.926,1768.96,1.1863,0.28,0.516
Zn4Co4Mn4Fe4Ni4,Zn,Co,Mn,Fe,Ni,5,1.764,0.139942845,152,0.042228438,13.38151058,409.5,409.5,486.386,243.352304,243.352304,213.6073243,11.547,13.031,13.0603,5.581445,5.587352,7.172795,223.667763,8.725,-120.932843,0.12,-3.94,23.02,492.2,187.56,96.03,245.91,10.884,1610.68,1.2752,0.281,0.512
Y4Co4Mn4Fe4Ni4,Y,Co,Mn,Fe,Ni,5,1.678,0.262251787,166,0.140659748,13.38151058,429.15,429.15,502.062,234.8287479,234.8287479,216.4972757,18.0795,18.9194,18.9352,6.360167,4.950145,9.881448,298.699967,7.056,-143.309704,0.068,-4.637,13.98,298.8,97.43,34.17,91.78,3.409,996.33,0.7143,0.343,0.351
Co4Fe4Mn4Ni4Zr4,Co,Fe,Mn,Ni,Zr,5,1.7,0.224855509,164.8,0.127363599,13.38151058,420.842,420.842,490.39,237.6780782,237.6780782,213.9126817,14.1595,14.9442,14.959,5.95409,6.929476,7.092038,267.387351,7.94,-152.624198,0.02,-5.073,15.25,326,137.57,42.3,114.93,3.405,1180.28,0.8113,0.361,0.307
Co4Fe4Mn4Nb4Ni4,Co,Fe,Mn,Nb,Ni,5,1.754,0.14921126,163.2,0.109432912,13.38151058,422.21,422.21,453.458,237.1312001,237.1312001,222.3036033,9.7444,10.3272,10.3382,6.868737,6.80935,7.62835,241.179276,8.849,-158.137797,0.083,-5.162,15.83,338.5,221.67,47,129.54,2.408,1912.63,0.8739,0.401,0.212
